"month","day","rise","rise_day","set","set_day","rise_date","set_date","utc_offset"
"3","23","0624","SAME","1826","SAME","2018-03-23 06:24:00","2018-03-23 18:26:00","UTC+10:00"
"3","24","0625","SAME","1825","SAME","2018-03-24 06:25:00","2018-03-24 18:25:00","UTC+10:00"
"3","25","0626","SAME","1823","SAME","2018-03-25 06:26:00","2018-03-25 18:23:00","UTC+10:00"
"3","26","0627","SAME","1821","SAME","2018-03-26 06:27:00","2018-03-26 18:21:00","UTC+10:00"
"3","27","0628","SAME","1820","SAME","2018-03-27 06:28:00","2018-03-27 18:20:00","UTC+10:00"
"3","28","0629","SAME","1818","SAME","2018-03-28 06:29:00","2018-03-28 18:18:00","UTC+10:00"
"3","29","0630","SAME","1817","SAME","2018-03-29 06:30:00","2018-03-29 18:17:00","UTC+10:00"
"3","30","0631","SAME","1815","SAME","2018-03-30 06:31:00","2018-03-30 18:15:00","UTC+10:00"
"3","31","0632","SAME","1814","SAME","2018-03-31 06:32:00","2018-03-31 18:14:00","UTC+10:00"
"4","1","0632","SAME","1812","SAME","2018-04-01 06:32:00","2018-04-01 18:12:00","UTC+10:00"
"4","2","0633","SAME","1811","SAME","2018-04-02 06:33:00","2018-04-02 18:11:00","UTC+10:00"
"4","3","0634","SAME","1809","SAME","2018-04-03 06:34:00","2018-04-03 18:09:00","UTC+10:00"
"4","4","0635","SAME","1807","SAME","2018-04-04 06:35:00","2018-04-04 18:07:00","UTC+10:00"
"4","5","0636","SAME","1806","SAME","2018-04-05 06:36:00","2018-04-05 18:06:00","UTC+10:00"
"4","6","0637","SAME","1804","SAME","2018-04-06 06:37:00","2018-04-06 18:04:00","UTC+10:00"
"4","7","0638","SAME","1803","SAME","2018-04-07 06:38:00","2018-04-07 18:03:00","UTC+10:00"
"4","8","0639","SAME","1801","SAME","2018-04-08 06:39:00","2018-04-08 18:01:00","UTC+10:00"
"4","9","0640","SAME","1800","SAME","2018-04-09 06:40:00","2018-04-09 18:00:00","UTC+10:00"
"4","10","0641","SAME","1758","SAME","2018-04-10 06:41:00","2018-04-10 17:58:00","UTC+10:00"
"4","11","0642","SAME","1757","SAME","2018-04-11 06:42:00","2018-04-11 17:57:00","UTC+10:00"
"4","12","0643","SAME","1755","SAME","2018-04-12 06:43:00","2018-04-12 17:55:00","UTC+10:00"
"4","13","0644","SAME","1754","SAME","2018-04-13 06:44:00","2018-04-13 17:54:00","UTC+10:00"
"4","14","0645","SAME","1753","SAME","2018-04-14 06:45:00","2018-04-14 17:53:00","UTC+10:00"
"4","15","0646","SAME","1751","SAME","2018-04-15 06:46:00","2018-04-15 17:51:00","UTC+10:00"
"4","16","0647","SAME","1750","SAME","2018-04-16 06:47:00","2018-04-16 17:50:00","UTC+10:00"
"4","17","0648","SAME","1748","SAME","2018-04-17 06:48:00","2018-04-17 17:48:00","UTC+10:00"
"4","18","0649","SAME","1747","SAME","2018-04-18 06:49:00","2018-04-18 17:47:00","UTC+10:00"
